pool,run,family,family_label,estimate,accepted_estimate,common_cells,historical_ci_low,historical_ci_high,ci_low,ci_high,ci_low_shift,ci_high_shift,width_ratio,ci_below_zero,bootstrap_standard_error,bootstrap_replicates,proposals,rejected,rejected_fraction,expected_rejected_fraction,trajectory_clusters,eligible_state_rows
all_confirmatory,primary,haar_z,Haar / Z,-0.25726645377646451,-0.25726645377646462,6,-0.29003470333235509,-0.2246502778287347,-0.28894901410812107,-0.22608773028119333,0.001085689224234021,-0.0014374524524586318,0.96141066229062544,True,0.01602861981672778,50000,50000,0,0,1.1213252548714081e-13,72,143
all_confirmatory,primary,clifford_z,Clifford / Z,-0.40553742113551461,-0.40553742113551472,4,-0.55480987340569099,-0.25400939735317168,-0.5711345487506837,-0.22232558541277583,-0.016324675344992712,0.031683811940395851,1.1596024312042856,True,0.089543065196837537,50000,55036,5036,0.091503743004578822,0.0915439311985351,72,64
all_confirmatory,primary,floquet_cartan_z,Floquet-Cartan / Z,-0.20808060376372686,-0.20808060376372689,6,-0.2355978244221745,-0.181221767265006,-0.23589697475972896,-0.18158875756282011,-0.00029915033755445464,-0.00036699029781411818,0.99875239280289152,True,0.013825328743129322,50000,50000,0,0,2.2426505097428162e-13,72,142
all_confirmatory,primary,haar_random_pauli,Haar / random Pauli,-0.18815607711985485,-0.18815607711985491,6,-0.22255233976764521,-0.15416104798867211,-0.21786822924398108,-0.15835822743312974,0.0046841105236641312,-0.0041971794444576327,0.87014004653071464,True,0.015187017787694193,50000,50000,0,0,1.1213252548714081e-13,72,143
all_confirmatory,primary,haar_weak_z_eta06,Haar / weak Z,-0.18258769451128909,-0.1825876945112892,6,-0.2037055141978629,-0.16159603230777531,-0.20413323604387568,-0.16130914709927027,-0.00042772184601277963,0.0002868852085050333,1.016970217215758,True,0.010911925501959177,50000,50000,0,0,0,72,144
all_confirmatory,independent,haar_z,Haar / Z,-0.20743235710923263,-0.20743235710923261,6,-0.24749461928014371,-0.16820996989409109,-0.24647851174693899,-0.16910440948680611,0.0010161075332047187,-0.00089443959271501283,0.97590268556758197,True,0.019744535514267386,50000,50000,0,0,5.9604644775390625e-08,48,95
all_confirmatory,independent,clifford_z,Clifford / Z,-0.31924809729965192,-0.31924809729965198,4,-0.46591655043712699,-0.16902759403895201,-0.46097803428913753,-0.18101328819466792,0.0049385161479894579,-0.011985694155715904,0.94299481358610293,True,0.071331737164351303,50000,52881,2881,0.054480815415744788,0.053536104411491814,48,45
all_confirmatory,independent,floquet_cartan_z,Floquet-Cartan / Z,-0.18477780051627951,-0.18477780051627951,6,-0.22525077483307701,-0.1455084338582551,-0.22030582419993353,-0.15037144777597472,0.0049449506331434856,-0.0048630139177196219,0.8770043062322449,True,0.017892468217094441,50000,50000,0,0,1.1920928955078125e-07,48,94
all_confirmatory,independent,haar_random_pauli,Haar / random Pauli,-0.19769180981953913,-0.1976918098195391,6,-0.23585780930354899,-0.15906964613779229,-0.23502719476036849,-0.1610675724330137,0.00083061454318050787,-0.0019979262952214139,0.96316436385779713,True,0.018932546716977902,50000,50000,0,0,0,48,96
all_confirmatory,independent,haar_weak_z_eta06,Haar / weak Z,-0.17814102496761294,-0.178141024967613,6,-0.20693245873295429,-0.1488110522213269,-0.21374228300418208,-0.14238286813643647,-0.0068098242712277823,0.0064281840848904315,1.2277647626003321,True,0.018305172960572033,50000,50000,0,0,0,48,96
